Shipsure Account Description,Level,Shipsure Account Number,Account Type,HFM Account Number,HFM Account Description,,,,
I/Co Leisure COS Manning Fees,4,7380003,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380004,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380005,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380006,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380007,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380008,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380009,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Mann & Mobil,4,7380010,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380013,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380014,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380015,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380016,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380017,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380018,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380019,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Communication,4,7380020,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Working Cloth,4,7380030,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Working Cloth,4,7380040,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Medical D & A,4,7380050,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Local Travel,4,7380060,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Visa,4,7380070,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS FS Endorsemen,4,7380080,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Seafarer Soci,4,7380090,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS IMTS Contribu,4,7380100,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380111,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380112,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380113,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Manning Fees,4,7380114,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Bank Charges,4,7380120,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Union Fees,4,7380130,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Other Costs,4,7380140,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Air Fares,4,7380150,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Pri Med Insur,4,7380160,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Service Tax,4,7380170,Income Statement,IS260100,Inter Company Purchases Costs,,,,
I/Co Leisure COS Crew Wages,4,7380180,Income Statement,IS260100,Inter Company Purchases Costs,,,,
NFI COS Manning Fees,4,7440001,Income Statement,IS201010,Manning Costs,,,,
NFI COS Manning Fees - IOM,4,7440017,Income Statement,IS201010,Manning Costs,,,,
NFI COS Communication,4,7440020,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Working Clothes,4,7440030,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Medical D & A,4,7440050,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Conveyance/Travel,4,7440060,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Visa,4,7440070,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS FS Endorsement,4,7440080,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Seafarer Social,4,7440090,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Conveyance / Travel,4,7440100,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Bank Charges,4,7440120,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Union Fees,4,7440130,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Other Costs,4,7440140,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Air Fares,4,7440150,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
NFI COS Private Medical Insura,4,7440160,Income Statement,IS201070,Crew Cost Recharges Costs,,,,
FI COS Salaries Paid,4,7440180,Income Statement,IS201020,Fixed Invoice Costs,,,,
Training Costs,4,7440190,Income Statement,IS201030,Training Costs,,,,
Direct Employment Costs,4,7440200,Income Statement,IS201050,Direct Employment Costs,,,,
Payroll and Admin Costs,4,7440210,Income Statement,IS201090,Payroll and Admin Costs,,,,
FI COS Manning Fees,4,7441001,Income Statement,IS201010,Manning Costs,,,,
FI COS Manning Fees - IOM,4,7441017,Income Statement,IS201010,Manning Costs,,,,
FI COS Communication,4,7441020,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Working Clothes,4,7441030,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Medical D & A,4,7441050,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Conveyance / Travel,4,7441060,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Visa,4,7441070,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS FS Endorsement,4,7441080,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Seafarer Social,4,7441090,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS IMTS Cont,4,7441100,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Bank Charges,4,7441120,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Union Fees,4,7441130,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Other Costs,4,7441140,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Air Fares,4,7441150,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI COS Private Medical Insuran,4,7441160,Income Statement,IS201020,Fixed Invoice Costs,,,,
FI INC Manning Fees - BCI,4,7444001,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - BGI Hamb,4,7444002,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Bulgaria,4,7444003,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - China,4,7444004,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - India,4,7444005,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Phillipi,4,7444006,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Poland,4,7444007,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Romania,4,7444008,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Ukraine,4,7444009,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning & Mobilization,4,7444010,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Croatia,4,7444013,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Italy,4,7444014,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Myanmar,4,7444015,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - Banglade,4,7444016,Income Statement,IS101010,Manning Fees,,,,
FI INC Manning Fees - IOM,4,7444017,Income Statement,IS101010,Manning Fees,,,,
FI Manning Fees - Pakistan,4,7444018,Income Statement,IS101010,Manning Fees,,,,
FI INC Communication,4,7444020,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Working Clothes,4,7444030,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Medical D & A,4,7444050,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Conveyance / Travel,4,7444060,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Visa,4,7444070,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC FS Endorsement,4,7444080,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Seafarer Social,4,7444090,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC IMTS Cont.,4,7444100,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Medical Insurance,4,7444110,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Bank Charges,4,7444120,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Union Fees,4,7444130,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Other Costs,4,7444140,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Air Fares,4,7444150,Income Statement,IS101020,Fixed Invoice Income,,,,
FI INC Private Medical Insuran,4,7444160,Income Statement,IS101020,Fixed Invoice Income,,,,
NFI INC Manning Fees - BGI Tal,4,7445001,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - BGI Ham,4,7445002,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Bulgari,4,7445003,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - China,4,7445004,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - India,4,7445005,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Phillip,4,7445006,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Poland,4,7445007,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Romania,4,7445008,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Ukraine,4,7445009,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning & Mobilization,4,7445010,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Croatia,4,7445013,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Italy,4,7445014,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Myanmar,4,7445015,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Banglad,4,7445016,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - IOM,4,7445017,Income Statement,IS101010,Manning Fees,,,,
NFI INC Manning Fees - Pakista,4,7445018,Income Statement,IS101010,Manning Fees,,,,
NFI INC Communication,4,7445020,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Working Clothes,4,7445030,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Medical D & A,4,7445050,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Conveyance / Travel,4,7445060,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Visa,4,7445070,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC FS Endorsement,4,7445080,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Seafarer Social,4,7445090,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC IMTS Cont.,4,7445100,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Medical Insurance,4,7445110,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Bank Charges,4,7445120,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Union Fees,4,7445130,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Other Costs,4,7445140,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Air Fares,4,7445150,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Private Medical Insura,4,7445160,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Service Tax,4,7445170,Income Statement,IS101070,Crew Cost Recharges,,,,
NFI INC Wage Requests,4,7445180,Income Statement,IS101070,Crew Cost Recharges,,,,
OS NFI INC Manning Fees BCI,4,7460001,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Ham,4,7460002,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Bul,4,7460003,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Chi,4,7460004,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Ind,4,7460005,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Phil,4,7460006,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Pol,4,7460007,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Rom,4,7460008,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Ukr,4,7460009,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Mann & Mobil Fees,4,7460010,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Cro,4,7460013,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Ita,4,7460014,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Mya,4,7460015,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees Ban,4,7460016,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees IOM,4,7460017,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees MO,4,7460018,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees BRA Lo,4,7460019,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Communications,4,7460020,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Manning Fees BRA Ex,4,7460021,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Working Clothes,4,7460030,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Working Clothes,4,7460040,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Medical D & A,4,7460050,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Local Travel,4,7460060,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Visa,4,7460070,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC FS Endorsements,4,7460080,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Seafarer Social,4,7460090,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC IMTS Contributions,4,7460100,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Bank Charges,4,7460120,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Union Fees,4,7460130,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Other INCts,4,7460140,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Air Fares,4,7460150,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Pri Med Insur.,4,7460160,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Service Tax,4,7460170,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS NFI INC Crew Wages,4,7460180,Income Statement,IS113140,Project Revenues - Offshore,,,,
Revenue Cancelled,4,7460190,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Manning Fees BCI,4,7465001,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Ham,4,7465002,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Bul,4,7465003,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Chi,4,7465004,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Ind,4,7465005,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Phil,4,7465006,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Pol,4,7465007,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Rom,4,7465008,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Ukr,4,7465009,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Mann & Mobil Fees,4,7465010,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Cro,4,7465013,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Ita,4,7465014,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Mya,4,7465015,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees Ban,4,7465016,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Manning Fees IOM,4,7465017,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Communications,4,7465020,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Manning Fees Bra Ext,4,7465021,Income Statement,IS101010,Manning Fees,,,,
OS FI INC Working Clothes,4,7465030,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Medical D & A,4,7465050,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Local Travel,4,7465060,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Visa,4,7465070,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC FS Endorsements,4,7465080,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Seafarer Social,4,7465090,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC IMTS Contributions,4,7465100,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Bank Charges,4,7465120,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Union Fees,4,7465130,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Other INCts,4,7465140,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Air Fares,4,7465150,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Pri Med Insur.,4,7465160,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Service Tax,4,7465170,Income Statement,IS113140,Project Revenues - Offshore,,,,
OS FI INC Crew Wages,4,7465180,Income Statement,IS113140,Project Revenues - Offshore,,,,
Leisure INC Manning Fees BCI,4,7480001,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Ham,4,7480002,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Bul,4,7480003,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Chi,4,7480004,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Ind,4,7480005,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Phil,4,7480006,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Pol,4,7480007,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Rom,4,7480008,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Ukr,4,7480009,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Mann & Mobil Fees,4,7480010,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Cro,4,7480013,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Ita,4,7480014,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Mya,4,7480015,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Ban,4,7480016,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Eur,4,7480017,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Ame,4,7480018,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Ins,4,7480019,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Communications,4,7480020,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Working Clothes,4,7480030,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Working Clothes,4,7480040,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Medical D & A,4,7480050,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Local Travel,4,7480060,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Visa,4,7480070,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC FS Endorsements,4,7480080,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Seafarer Social,4,7480090,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC IMTS Contributions,4,7480100,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Asi,4,7480111,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Afr,4,7480112,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees Por,4,7480113,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Manning Fees nep,4,7480114,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Bank Charges,4,7480120,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Union Fees,4,7480130,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Other INCts,4,7480140,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Air Fares,4,7480150,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Pri Med Insur.,4,7480160,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Service Tax,4,7480170,Income Statement,IS101060,Leisure Recruitment Fees,,,,
Leisure INC Crew Wages,4,7480180,Income Statement,IS101060,Leisure Recruitment Fees,,,,
NFI OS COS Manning Fees BCI,4,7560001,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Ham,4,7560002,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Bul,4,7560003,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Chi,4,7560004,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Ind,4,7560005,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Phil,4,7560006,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Pol,4,7560007,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Rom,4,7560008,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Ukr,4,7560009,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Mann & Mobil Fees,4,7560010,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Mann & Mobil Fees,4,7560013,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Ita,4,7560014,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Mya,4,7560015,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees Ban,4,7560016,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Manning Fees IOM,4,7560017,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Communications,4,7560020,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Working Clothes,4,7560030,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Working Clothes,4,7560040,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Medical D & A,4,7560050,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Local Travel,4,7560060,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Visa,4,7560070,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS FS Endorsements,4,7560080,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Seafarer Socia,4,7560090,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS IMTS Contributions,4,7560100,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Bank Charges,4,7560120,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Union Fees,4,7560130,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Other Costs,4,7560140,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Air Fares,4,7560150,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Pri Med Insur.,4,7560160,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Service Tax,4,7560170,Income Statement,IS213140,Project Expenses - Offshore,,,,
NFI OS COS Crew Wages,4,7560180,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Manning Fees BCI,4,7565001,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Ham,4,7565002,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Bul,4,7565003,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Chi,4,7565004,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Ind,4,7565005,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Phil,4,7565006,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Pol,4,7565007,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Rom,4,7565008,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Ukr,4,7565009,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Mann & Mobil Fees,4,7565010,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Mann & Mobil Fees,4,7565013,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Ita,4,7565014,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Mya,4,7565015,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees Ban,4,7565016,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Manning Fees IOM,4,7565017,Income Statement,IS201010,Manning Costs,,,,
FI OS COS Communications,4,7565020,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Working Clothes,4,7565030,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Medical D & A,4,7565050,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Local Travel,4,7565060,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Visa,4,7565070,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS FS Endorsements,4,7565080,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Seafarer Social,4,7565090,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS IMTS Contributions,4,7565100,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Bank Charges,4,7565120,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Union Fees,4,7565130,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Other Costs,4,7565140,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Air Fares,4,7565150,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Pri Med Insur.,4,7565160,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Service Tax,4,7565170,Income Statement,IS213140,Project Expenses - Offshore,,,,
FI OS COS Crew Wages,4,7565180,Income Statement,IS213140,Project Expenses - Offshore,,,,
Leisure COS Manning Fees BCI,4,7580001,Income Statement,IS201060,Leisure Recruitment Costs,,,,
Leisure COS Manning Fees Ham,4,7580002,Income Statement,IS201060,Leisure Recruitment Costs,,,,
Leisure COS Manning Fees Bul,4,7580003,Income Statement,IS201060,Leisure Recruitment Costs,,,,
